"id","site","lab_id","name","result","units","month","day","year","created_at","updated_at","site_name","collection_date"
1261,1,"180518-6","Phosphorus","0","mg/L",5,18,2018,"2018-07-11 13:02:25.52139","2018-07-13 17:17:14.39862","Gerrish Township Marina","2018-05-18"
1265,1,"180518-6","Beach Plate Count; e-coli","<1","colonies/100mL",5,18,2018,"2018-07-11 13:02:25.859565","2018-07-13 17:17:14.402571","Gerrish Township Marina","2018-05-18"
1396,1,"180615-2","Beach Plate Count; MPN","206","colonies/100mL",6,15,2018,"2018-07-11 13:02:39.146054","2018-07-13 17:17:14.408467","Gerrish Township Marina","2018-06-15"
1274,2,"180518-5","Nitrogen (Nitrite)","0.006","mg/L",5,18,2018,"2018-07-11 13:02:25.878693","2018-07-13 17:18:29.65129","South State Park","2018-05-18"
1281,2,"180518-5","Air Temperature","21.1","degrees Centigrade",5,18,2018,"2018-07-11 13:02:25.896721","2018-07-13 17:18:29.669116","South State Park","2018-05-18"
1404,2,"180615-3","Phosphorus","0.11","mg/L",6,15,2018,"2018-07-11 13:02:39.180039","2018-07-13 17:18:29.671943","South State Park","2018-06-15"
1410,2,"180615-3","Dissolved Oxygen","5.1","mg/L",6,15,2018,"2018-07-11 13:02:39.194576","2018-07-13 17:18:29.674159","South State Park","2018-06-15"
1290,3,"180518-7","Total Dissolved Solids","0.0166","percent",5,18,2018,"2018-07-11 13:02:26.00542","2018-07-13 17:19:09.303126","Cut River","2018-05-18"
1416,3,"180615-4","Nitrogen (Nitrate)","0.01","mg/L",6,15,2018,"2018-07-11 13:02:39.208646","2018-07-13 17:19:09.308231","Cut River","2018-06-15"
1422,3,"180615-4","Total Dissolved Solids","0.012","percent",6,15,2018,"2018-07-11 13:02:39.227287","2018-07-13 17:19:09.321691","Cut River","2018-06-15"
1297,4,"180517-2","Beach Plate Count; MPN","356","colonies/100mL",5,17,2018,"2018-07-11 13:02:26.200456","2018-07-13 17:19:44.715782","Sam-O-Set","2018-05-17"
1429,4,"180614-4","Beach Plate Count; MPN","68.3","colonies/100mL",6,14,2018,"2018-07-11 13:02:39.271254","2018-07-13 17:19:44.71905","Sam-O-Set","2018-06-14"
1430,4,"180614-4","Beach Plate Count; e-coli","1","colonies/100mL",6,14,2018,"2018-07-11 13:02:39.273297","2018-07-13 17:19:44.721663","Sam-O-Set","2018-06-14"
1307,5,"180517-4","Nitrogen (Nitrite)","0.007","mg/L",5,17,2018,"2018-07-11 13:02:26.513945","2018-07-13 17:20:03.100658","DNR boat launch","2018-05-17"
1313,5,"180517-4","Water Temperature","19.5","degrees Centigrade",5,17,2018,"2018-07-11 13:02:26.616978","2018-07-13 17:20:03.104674","DNR boat launch","2018-05-17"
1438,5,"180614-6","Nitrogen (Nitrate)","0.068","mg/L",6,14,2018,"2018-07-11 13:02:39.293634","2018-07-13 17:20:03.114503","DNR boat launch","2018-06-14"
1444,5,"180614-6","Total Dissolved Solids","0.005","percent",6,14,2018,"2018-07-11 13:02:39.306471","2018-07-13 17:20:03.116822","DNR boat launch","2018-06-14"
1323,6,"180517-3","Total Dissolved Solids","0.005","percent",5,17,2018,"2018-07-11 13:02:27.124247","2018-07-13 17:20:21.40723","Gold Coast","2018-05-17"
1450,6,"180614-5","Nitrogen (Nitrite)","0.006","mg/L",6,14,2018,"2018-07-11 13:02:39.319711","2018-07-13 17:20:21.413314","Gold Coast","2018-06-14"
1456,6,"180614-5","Water Temperature","18.2","degrees Centigrade",6,14,2018,"2018-07-11 13:02:39.337133","2018-07-13 17:20:21.424158","Gold Coast","2018-06-14"
1330,7,"180518-3","Beach Plate Count; MPN","148","colonies/100mL",5,18,2018,"2018-07-11 13:02:27.558234","2018-07-13 17:20:36.134304","North State Park","2018-05-18"
1463,7,"180613-1","Beach Plate Count; e-coli","2","colonies/100mL",6,13,2018,"2018-07-11 13:02:39.363579","2018-07-13 17:20:36.137482","North State Park","2018-06-13"
1471,8,"180613-2","Nitrogen (Nitrate)","0.14","mg/L",6,13,2018,"2018-07-11 13:02:39.38696","2018-07-13 17:21:17.240106","B&B Marina","2018-06-13"
1477,8,"180613-2","Total Dissolved Solids","0.004","percent",6,13,2018,"2018-07-11 13:02:39.420382","2018-07-13 17:21:17.264676","B&B Marina","2018-06-13"
1355,9,"180518-1","Dissolved Oxygen","6","mg/L",5,18,2018,"2018-07-11 13:02:28.028354","2018-07-13 17:21:34.093298","Camp Carmine","2018-05-18"
1358,9,"180518-1","Air Temperature","25","degrees Centigrade",5,18,2018,"2018-07-11 13:02:28.036582","2018-07-13 17:21:34.127955","Camp Carmine","2018-05-18"
1483,9,"180613-3","Nitrogen (Nitrite)","0.006","mg/L",6,13,2018,"2018-07-11 13:02:39.458224","2018-07-13 17:21:34.197261","Camp Carmine","2018-06-13"
1489,9,"180613-3","Water Temperature","17.2","degrees Centigrade",6,13,2018,"2018-07-11 13:02:39.652571","2018-07-13 17:21:34.199968","Camp Carmine","2018-06-13"
1364,10,"180516-8","Beach Plate Count; e-coli","<1","colonies/100mL",5,16,2018,"2018-07-11 13:02:28.202712","2018-07-13 17:21:50.672384","Treasure Island - 1","2018-05-16"
1496,10,"180614-3","Beach Plate Count; e-coli","1","colonies/100mL",6,14,2018,"2018-07-11 13:02:39.675603","2018-07-13 17:21:50.676602","Treasure Island - 1","2018-06-14"
1372,11,"180516-9","Nitrogen (Nitrate)","0","mg/L",5,16,2018,"2018-07-11 13:02:28.540013","2018-07-13 17:22:04.788616","Treasure Island - 2","2018-05-16"
1378,11,"180516-9","Total Dissolved Solids","0.015","percent",5,16,2018,"2018-07-11 13:02:28.785099","2018-07-13 17:22:04.791971","Treasure Island - 2","2018-05-16"
1536,2,"180720-3","Phosphorus","n.d.","mg/L",7,20,2018,"2018-12-23 13:39:00.65204","2018-12-23 13:39:00.65204","South State Park","2018-07-20"
1538,2,"180720-3","Nitrogen (Nitrite)","n.d.","mg/L",7,20,2018,"2018-12-23 13:39:00.656512","2018-12-23 13:39:00.656512","South State Park","2018-07-20"
1539,2,"180720-3","Beach Plate Count; MPN","436","colonies/100mL",7,20,2018,"2018-12-23 13:39:00.658808","2018-12-23 13:39:00.658808","South State Park","2018-07-20"
1540,2,"180720-3","Beach Plate Count; e-coli","8.6","colonies/100mL",7,20,2018,"2018-12-23 13:39:00.661105","2018-12-23 13:39:00.661105","South State Park","2018-07-20"
1541,2,"180720-3","pH","7.94","pH",7,20,2018,"2018-12-23 13:39:00.663949","2018-12-23 13:39:00.663949","South State Park","2018-07-20"
1542,2,"180720-3","Dissolved Oxygen","3.7","mg/L",7,20,2018,"2018-12-23 13:39:00.666406","2018-12-23 13:39:00.666406","South State Park","2018-07-20"
1543,2,"180720-3","Total Dissolved Solids","0.0028","percent",7,20,2018,"2018-12-23 13:39:00.668615","2018-12-23 13:39:00.668615","South State Park","2018-07-20"
1544,2,"180720-3","Water Temperature","22.1","degrees Centigrade",7,20,2018,"2018-12-23 13:39:00.671043","2018-12-23 13:39:00.671043","South State Park","2018-07-20"
1545,2,"180720-3","Air Temperature","19.4","degrees Centigrade",7,20,2018,"2018-12-23 13:39:00.673325","2018-12-23 13:39:00.673325","South State Park","2018-07-20"
1547,3,"180720-2","Phosphorus","n.d.","mg/L",7,20,2018,"2018-12-23 13:39:00.678226","2018-12-23 13:39:00.678226","Cut River","2018-07-20"
1549,3,"180720-2","Nitrogen (Nitrite)","0.005","mg/L",7,20,2018,"2018-12-23 13:39:00.682985","2018-12-23 13:39:00.682985","Cut River","2018-07-20"
1550,3,"180720-2","Beach Plate Count; MPN","307","colonies/100mL",7,20,2018,"2018-12-23 13:39:00.688811","2018-12-23 13:39:00.688811","Cut River","2018-07-20"
1551,3,"180720-2","Beach Plate Count; e-coli","<1","colonies/100mL",7,20,2018,"2018-12-23 13:39:00.698296","2018-12-23 13:39:00.698296","Cut River","2018-07-20"
1552,3,"180720-2","pH","7.9","pH",7,20,2018,"2018-12-23 13:39:00.700984","2018-12-23 13:39:00.700984","Cut River","2018-07-20"
1548,3,"180720-2","Nitrogen (Nitrate)","0.068","mg/L",7,20,2018,"2018-12-23 13:39:00.680597","2018-12-23 13:39:00.680597","Cut River","2018-07-20"
1537,2,"180720-3","Nitrogen (Nitrate)","0.051","mg/L",7,20,2018,"2018-12-23 13:39:00.654314","2018-12-23 13:39:00.654314","South State Park","2018-07-20"
1263,1,"180518-6","Nitrogen (Nitrite)","0.006","mg/L",5,18,2018,"2018-07-11 13:02:25.854255","2018-07-13 17:17:14.41862","Gerrish Township Marina","2018-05-18"
1264,1,"180518-6","Beach Plate Count; MPN","12.1","colonies/100mL",5,18,2018,"2018-07-11 13:02:25.85709","2018-07-13 17:17:14.421155","Gerrish Township Marina","2018-05-18"
1266,1,"180518-6","pH","7.46","pH",5,18,2018,"2018-07-11 13:02:25.862019","2018-07-13 17:17:14.426742","Gerrish Township Marina","2018-05-18"
1267,1,"180518-6","Dissolved Oxygen","5.1","mg/L",5,18,2018,"2018-07-11 13:02:25.864357","2018-07-13 17:17:14.431679","Gerrish Township Marina","2018-05-18"
1268,1,"180518-6","Total Dissolved Solids","0.0169","percent",5,18,2018,"2018-07-11 13:02:25.866483","2018-07-13 17:17:14.438281","Gerrish Township Marina","2018-05-18"
1270,1,"180518-6","Air Temperature","21.1","degrees Centigrade",5,18,2018,"2018-07-11 13:02:25.870423","2018-07-13 17:17:14.449331","Gerrish Township Marina","2018-05-18"
1271,1,"180518-6","Conductivity","278","uS/cM",5,18,2018,"2018-07-11 13:02:25.872316","2018-07-13 17:17:14.45215","Gerrish Township Marina","2018-05-18"
1272,2,"180518-5","Phosphorus","0.1","mg/L",5,18,2018,"2018-07-11 13:02:25.874597","2018-07-13 17:18:29.676443","South State Park","2018-05-18"
1273,2,"180518-5","Nitrogen (Nitrate)","0.124","mg/L",5,18,2018,"2018-07-11 13:02:25.876718","2018-07-13 17:18:29.678555","South State Park","2018-05-18"
1275,2,"180518-5","Beach Plate Count; MPN","13.4","colonies/100mL",5,18,2018,"2018-07-11 13:02:25.880791","2018-07-13 17:18:29.680563","South State Park","2018-05-18"
1276,2,"180518-5","Beach Plate Count; e-coli","<1","colonies/100mL",5,18,2018,"2018-07-11 13:02:25.883042","2018-07-13 17:18:29.682522","South State Park","2018-05-18"
1277,2,"180518-5","pH","7.68","pH",5,18,2018,"2018-07-11 13:02:25.885696","2018-07-13 17:18:29.68448","South State Park","2018-05-18"
1278,2,"180518-5","Dissolved Oxygen","4.7","mg/L",5,18,2018,"2018-07-11 13:02:25.888675","2018-07-13 17:18:29.686317","South State Park","2018-05-18"
1279,2,"180518-5","Total Dissolved Solids","0.0149","percent",5,18,2018,"2018-07-11 13:02:25.891677","2018-07-13 17:18:29.688092","South State Park","2018-05-18"
1280,2,"180518-5","Water Temperature","18.5","degrees Centigrade",5,18,2018,"2018-07-11 13:02:25.894193","2018-07-13 17:18:29.689954","South State Park","2018-05-18"
1282,2,"180518-5","Conductivity","288","uS/cM",5,18,2018,"2018-07-11 13:02:25.900509","2018-07-13 17:18:29.691916","South State Park","2018-05-18"
1283,3,"180518-7","Phosphorus","0.25","mg/L",5,18,2018,"2018-07-11 13:02:25.903076","2018-07-13 17:19:09.335885","Cut River","2018-05-18"
1284,3,"180518-7","Nitrogen (Nitrate)","0.056","mg/L",5,18,2018,"2018-07-11 13:02:25.905529","2018-07-13 17:19:09.34119","Cut River","2018-05-18"
1285,3,"180518-7","Nitrogen (Nitrite)","0.007","mg/L",5,18,2018,"2018-07-11 13:02:25.907706","2018-07-13 17:19:09.345722","Cut River","2018-05-18"
1286,3,"180518-7","Beach Plate Count; MPN","5.2","colonies/100mL",5,18,2018,"2018-07-11 13:02:25.909951","2018-07-13 17:19:09.352777","Cut River","2018-05-18"
1287,3,"180518-7","Beach Plate Count; e-coli","<1","colonies/100mL",5,18,2018,"2018-07-11 13:02:25.912112","2018-07-13 17:19:09.356316","Cut River","2018-05-18"
1288,3,"180518-7","pH","7.03","pH",5,18,2018,"2018-07-11 13:02:25.914715","2018-07-13 17:19:09.363866","Cut River","2018-05-18"
1289,3,"180518-7","Dissolved Oxygen","4.8","mg/L",5,18,2018,"2018-07-11 13:02:25.985231","2018-07-13 17:19:09.367661","Cut River","2018-05-18"
1291,3,"180518-7","Water Temperature","11.4","degrees Centigrade",5,18,2018,"2018-07-11 13:02:26.038771","2018-07-13 17:19:09.36996","Cut River","2018-05-18"
1292,3,"180518-7","Air Temperature","21.1","degrees Centigrade",5,18,2018,"2018-07-11 13:02:26.062126","2018-07-13 17:19:09.372098","Cut River","2018-05-18"
1293,3,"180518-7","Conductivity","273","uS/cM",5,18,2018,"2018-07-11 13:02:26.104737","2018-07-13 17:19:09.373962","Cut River","2018-05-18"
1294,4,"180517-2","Phosphorus","0.2","mg/L",5,17,2018,"2018-07-11 13:02:26.128133","2018-07-13 17:19:44.723951","Sam-O-Set","2018-05-17"
1295,4,"180517-2","Nitrogen (Nitrate)","0.267","mg/L",5,17,2018,"2018-07-11 13:02:26.159417","2018-07-13 17:19:44.738052","Sam-O-Set","2018-05-17"
1296,4,"180517-2","Nitrogen (Nitrite)","0.011","mg/L",5,17,2018,"2018-07-11 13:02:26.180747","2018-07-13 17:19:44.773596","Sam-O-Set","2018-05-17"
1298,4,"180517-2","Beach Plate Count; e-coli","31","colonies/100mL",5,17,2018,"2018-07-11 13:02:26.234555","2018-07-13 17:19:44.800313","Sam-O-Set","2018-05-17"
1299,4,"180517-2","pH","7.5","pH",5,17,2018,"2018-07-11 13:02:26.258548","2018-07-13 17:19:44.803485","Sam-O-Set","2018-05-17"
1300,4,"180517-2","Dissolved Oxygen","5.7","mg/L",5,17,2018,"2018-07-11 13:02:26.278692","2018-07-13 17:19:44.812864","Sam-O-Set","2018-05-17"
1301,4,"180517-2","Total Dissolved Solids","0.0047","percent",5,17,2018,"2018-07-11 13:02:26.30829","2018-07-13 17:19:44.816112","Sam-O-Set","2018-05-17"
1302,4,"180517-2","Water Temperature","17.7","degrees Centigrade",5,17,2018,"2018-07-11 13:02:26.338317","2018-07-13 17:19:44.818459","Sam-O-Set","2018-05-17"
1303,4,"180517-2","Air Temperature","26.2","degrees Centigrade",5,17,2018,"2018-07-11 13:02:26.389065","2018-07-13 17:19:44.823134","Sam-O-Set","2018-05-17"
1304,4,"180517-2","Conductivity","309","uS/cM",5,17,2018,"2018-07-11 13:02:26.431935","2018-07-13 17:19:44.827978","Sam-O-Set","2018-05-17"
1305,5,"180517-4","Phosphorus","0","mg/L",5,17,2018,"2018-07-11 13:02:26.466018","2018-07-13 17:20:03.11893","DNR boat launch","2018-05-17"
1306,5,"180517-4","Nitrogen (Nitrate)","0.126","mg/L",5,17,2018,"2018-07-11 13:02:26.490723","2018-07-13 17:20:03.126924","DNR boat launch","2018-05-17"
1308,5,"180517-4","Beach Plate Count; MPN","121","colonies/100mL",5,17,2018,"2018-07-11 13:02:26.534999","2018-07-13 17:20:03.129477","DNR boat launch","2018-05-17"
1309,5,"180517-4","Beach Plate Count; e-coli","20","colonies/100mL",5,17,2018,"2018-07-11 13:02:26.555977","2018-07-13 17:20:03.131601","DNR boat launch","2018-05-17"
1310,5,"180517-4","pH","7.91","pH",5,17,2018,"2018-07-11 13:02:26.579771","2018-07-13 17:20:03.133792","DNR boat launch","2018-05-17"
1311,5,"180517-4","Dissolved Oxygen","4.9","mg/L",5,17,2018,"2018-07-11 13:02:26.609392","2018-07-13 17:20:03.136491","DNR boat launch","2018-05-17"
1314,5,"180517-4","Air Temperature","21.2","degrees Centigrade",5,17,2018,"2018-07-11 13:02:26.619925","2018-07-13 17:20:03.144252","DNR boat launch","2018-05-17"
1315,5,"180517-4","Conductivity","297","uS/cM",5,17,2018,"2018-07-11 13:02:26.639865","2018-07-13 17:20:03.149579","DNR boat launch","2018-05-17"
1316,6,"180517-3","Phosphorus","0.3","mg/L",5,17,2018,"2018-07-11 13:02:26.663125","2018-07-13 17:20:21.427119","Gold Coast","2018-05-17"
1317,6,"180517-3","Nitrogen (Nitrate)","0.124","mg/L",5,17,2018,"2018-07-11 13:02:26.690666","2018-07-13 17:20:21.432029","Gold Coast","2018-05-17"
1318,6,"180517-3","Nitrogen (Nitrite)","0.006","mg/L",5,17,2018,"2018-07-11 13:02:26.812946","2018-07-13 17:20:21.435014","Gold Coast","2018-05-17"
1319,6,"180517-3","Beach Plate Count; MPN","914","colonies/100mL",5,17,2018,"2018-07-11 13:02:26.888909","2018-07-13 17:20:21.437058","Gold Coast","2018-05-17"
1320,6,"180517-3","Beach Plate Count; e-coli","<1","colonies/100mL",5,17,2018,"2018-07-11 13:02:26.990666","2018-07-13 17:20:21.439553","Gold Coast","2018-05-17"
1321,6,"180517-3","pH","6.94","pH",5,17,2018,"2018-07-11 13:02:27.077694","2018-07-13 17:20:21.445102","Gold Coast","2018-05-17"
1322,6,"180517-3","Dissolved Oxygen","7.3","mg/L",5,17,2018,"2018-07-11 13:02:27.095898","2018-07-13 17:20:21.4545","Gold Coast","2018-05-17"
1324,6,"180517-3","Water Temperature","17.3","degrees Centigrade",5,17,2018,"2018-07-11 13:02:27.143115","2018-07-13 17:20:21.463132","Gold Coast","2018-05-17"
1325,6,"180517-3","Air Temperature","24.7","degrees Centigrade",5,17,2018,"2018-07-11 13:02:27.177575","2018-07-13 17:20:21.466613","Gold Coast","2018-05-17"
1326,6,"180517-3","Conductivity","290","uS/cM",5,17,2018,"2018-07-11 13:02:27.253993","2018-07-13 17:20:21.470661","Gold Coast","2018-05-17"
1327,7,"180518-3","Phosphorus","2.25","mg/L",5,18,2018,"2018-07-11 13:02:27.28555","2018-07-13 17:20:36.139958","North State Park","2018-05-18"
1328,7,"180518-3","Nitrogen (Nitrate)","0.05","mg/L",5,18,2018,"2018-07-11 13:02:27.411677","2018-07-13 17:20:36.159153","North State Park","2018-05-18"
1329,7,"180518-3","Nitrogen (Nitrite)","0.003","mg/L",5,18,2018,"2018-07-11 13:02:27.533621","2018-07-13 17:20:36.166419","North State Park","2018-05-18"
1262,1,"180518-6","Nitrogen (Nitrate)","0.096","mg/L",5,18,2018,"2018-07-11 13:02:25.848833","2018-07-13 17:17:14.411135","Gerrish Township Marina","2018-05-18"
1269,1,"180518-6","Water Temperature","12.9","degrees Centigrade",5,18,2018,"2018-07-11 13:02:25.868505","2018-07-13 17:17:14.443765","Gerrish Township Marina","2018-05-18"
1312,5,"180517-4","Total Dissolved Solids","0.37","percent",5,17,2018,"2018-07-11 13:02:26.614572","2018-07-13 17:20:03.14171","DNR boat launch","2018-05-17"
1440,5,"180614-6","Beach Plate Count; MPN","436","colonies/100mL",6,14,2018,"2018-07-11 13:02:39.297863","2018-07-13 17:20:03.168752","DNR boat launch","2018-06-14"
1502,10,"180614-3","Conductivity","282","uS/cM",6,14,2018,"2018-07-11 13:02:39.702993","2018-07-13 17:21:50.687184","Treasure Island - 1","2018-06-14"
1503,11,"180614-2","Phosphorus","0.041","mg/L",6,14,2018,"2018-07-11 13:02:39.706172","2018-07-13 17:22:04.806309","Treasure Island - 2","2018-06-14"
1504,11,"180614-2","Nitrogen (Nitrate)","0.024","mg/L",6,14,2018,"2018-07-11 13:02:39.713729","2018-07-13 17:22:04.811401","Treasure Island - 2","2018-06-14"
1505,11,"180614-2","Nitrogen (Nitrite)","0.003","mg/L",6,14,2018,"2018-07-11 13:02:39.718068","2018-07-13 17:22:04.818006","Treasure Island - 2","2018-06-14"
1506,11,"180614-2","Beach Plate Count; MPN","186","colonies/100mL",6,14,2018,"2018-07-11 13:02:39.720324","2018-07-13 17:22:04.822622","Treasure Island - 2","2018-06-14"
1507,11,"180614-2","Beach Plate Count; e-coli","2","colonies/100mL",6,14,2018,"2018-07-11 13:02:39.722394","2018-07-13 17:22:04.825479","Treasure Island - 2","2018-06-14"
1508,11,"180614-2","pH","7.53","pH",6,14,2018,"2018-07-11 13:02:39.724449","2018-07-13 17:22:04.82786","Treasure Island - 2","2018-06-14"
1509,11,"180614-2","Dissolved Oxygen","4.5","mg/L",6,14,2018,"2018-07-11 13:02:39.726572","2018-07-13 17:22:04.82992","Treasure Island - 2","2018-06-14"
1510,11,"180614-2","Total Dissolved Solids","0.016","percent",6,14,2018,"2018-07-11 13:02:39.728621","2018-07-13 17:22:04.832075","Treasure Island - 2","2018-06-14"
1511,11,"180614-2","Water Temperature","16.7","degrees Centigrade",6,14,2018,"2018-07-11 13:02:39.731191","2018-07-13 17:22:04.83721","Treasure Island - 2","2018-06-14"
1512,11,"180614-2","Air Temperature","14.4","degrees Centigrade",6,14,2018,"2018-07-11 13:02:39.739764","2018-07-13 17:22:04.873264","Treasure Island - 2","2018-06-14"
1513,11,"180614-2","Conductivity","284","uS/cM",6,14,2018,"2018-07-11 13:02:39.742573","2018-07-13 17:22:04.875929","Treasure Island - 2","2018-06-14"
1514,12,"180614-1","Phosphorus","0.005","mg/L",6,14,2018,"2018-07-11 13:02:39.745372","2018-07-13 17:22:20.858648","Kennedy Beach","2018-06-14"
1515,12,"180614-1","Nitrogen (Nitrate)","0.118","mg/L",6,14,2018,"2018-07-11 13:02:39.747915","2018-07-13 17:22:20.862114","Kennedy Beach","2018-06-14"
1516,12,"180614-1","Nitrogen (Nitrite)","0.007","mg/L",6,14,2018,"2018-07-11 13:02:39.752225","2018-07-13 17:22:20.866799","Kennedy Beach","2018-06-14"
1517,12,"180614-1","Beach Plate Count; MPN","689","colonies/100mL",6,14,2018,"2018-07-11 13:02:39.754969","2018-07-13 17:22:20.872545","Kennedy Beach","2018-06-14"
1518,12,"180614-1","Beach Plate Count; e-coli","43","colonies/100mL",6,14,2018,"2018-07-11 13:02:39.757188","2018-07-13 17:22:20.87533","Kennedy Beach","2018-06-14"
1519,12,"180614-1","pH","7.77","pH",6,14,2018,"2018-07-11 13:02:39.759411","2018-07-13 17:22:20.877978","Kennedy Beach","2018-06-14"
1520,12,"180614-1","Dissolved Oxygen","4.5","mg/L",6,14,2018,"2018-07-11 13:02:39.764619","2018-07-13 17:22:20.885471","Kennedy Beach","2018-06-14"
